MEDIDAS#es,MEDIDAS_CODE,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Importe a precios de mercado,GDP_PRODUCTION,Comunidad Valenciana,ES52,2002,2002,73298081.0,,,
Población a 1 de julio,POB_1_JULIO,Cataluña,ES51,2002,2002,6470.1,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Cataluña,ES51,2002,2002,2.6432203644,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Cataluña,ES51,2002,2002,21877.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Cataluña,ES51,2002,2002,141546705.0,,,
Población a 1 de julio,POB_1_JULIO,Extremadura,ES43,2002,2002,1058.0,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Extremadura,ES43,2002,2002,3.3571444574,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Extremadura,ES43,2002,2002,11592.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Extremadura,ES43,2002,2002,12264844.0,,,
Población a 1 de julio,POB_1_JULIO,Castilla - La Mancha,ES42,2002,2002,1777.8,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Castilla - La Mancha,ES42,2002,2002,4.5265859759,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Castilla - La Mancha,ES42,2002,2002,14300.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Castilla - La Mancha,ES42,2002,2002,25423376.0,,,
Población a 1 de julio,POB_1_JULIO,Castilla y León,ES41,2002,2002,2458.0,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Castilla y León,ES41,2002,2002,2.6304957052,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Castilla y León,ES41,2002,2002,16419.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Castilla y León,ES41,2002,2002,40357850.0,,,
Población a 1 de julio,POB_1_JULIO,Comunidad de Madrid,ES30,2002,2002,5561.6,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Comunidad de Madrid,ES30,2002,2002,2.4809660351,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Comunidad de Madrid,ES30,2002,2002,24023.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Comunidad de Madrid,ES30,2002,2002,133608749.0,,,
Población a 1 de julio,POB_1_JULIO,Aragón,ES24,2002,2002,1217.6,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Aragón,ES24,2002,2002,3.7145378415,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Aragón,ES24,2002,2002,19193.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Aragón,ES24,2002,2002,23368239.0,,,
